2025-07-30 08:51:09.863+07:00 | main | INFO  | Besu | Starting Besu
2025-07-30 08:51:10.124+07:00 | main | WARN  | Besu | Forcing --bonsai-limit-trie-logs-enabled=false, since it cannot be enabled with --sync-mode=FULL and --data-storage-format=BONSAI.
2025-07-30 08:51:10.124+07:00 | main | WARN  | Besu | Permissions are disabled. Cannot enable PERM APIs when not using Permissions.
2025-07-30 08:51:10.125+07:00 | main | INFO  | Besu | Connecting to 0 static nodes.
2025-07-30 08:51:10.129+07:00 | main | WARN  | Besu | Forcing price bump for transaction replacement to 0, since min-gas-price is set to 0
2025-07-30 08:51:10.130+07:00 | main | WARN  | Besu | Forcing tx-pool-min-gas-price=0, since it cannot be greater than the value of min-gas-price
2025-07-30 08:51:10.211+07:00 | main | INFO  | Besu | 
####################################################################################################
#                                                                                                  #
# Besu version besu/v25.4.1/linux-x86_64/oracle-java-21                                            #
#                                                                                                  #
# Configuration:                                                                                   #
# Network: Custom genesis file                                                                     #
# /home/daffa/Documents/tesis-emisi-karbon/QBFT-Network/Node-2/../genesis.json                     #
# Network Id: 1337                                                                                 #
# Data storage: Bonsai                                                                             #
# Sync mode: Full                                                                                  #
# Sync min peers: 5                                                                                #
# RPC HTTP APIs: EEA,WEB3,ETH,NET,TRACE,DEBUG,ADMIN,TXPOOL,PERM,QBFT                               #
# RPC HTTP port: 8546                                                                              #
# Using LAYERED transaction pool implementation                                                    #
# Using STACKED worldstate update mode                                                             #
#                                                                                                  #
# Host:                                                                                            #
# Java: oracle-java-21                                                                             #
# Maximum heap size: 7.80 GB                                                                       #
# OS: linux-x86_64                                                                                 #
# glibc: 2.31                                                                                      #
# jemalloc: 5.2.1-0-gea6b3e973b477b8061e0076bb257dbd7f3faa756                                      #
# Total memory: 31.19 GB                                                                           #
# CPU cores: 12                                                                                    #
#                                                                                                  #
# Plugin Registration Summary:                                                                     #
# No plugins have been registered.                                                                 #
# TOTAL = 0 of 0 plugins successfully registered.                                                  #
#                                                                                                  #
####################################################################################################
2025-07-30 08:51:10.211+07:00 | main | INFO  | Besu | Security Module: localfile
2025-07-30 08:51:10.212+07:00 | main | INFO  | VersionMetadata | Lookup version metadata file in data directory: /home/daffa/Documents/tesis-emisi-karbon/QBFT-Network/Node-2/data
2025-07-30 08:51:10.212+07:00 | main | INFO  | VersionMetadata | No version data detected. Writing Besu version besu/v25.4.1/linux-x86_64/oracle-java-21 to metadata file
2025-07-30 08:51:10.250+07:00 | main | INFO  | Besu | Using the native implementation of alt bn128
2025-07-30 08:51:10.266+07:00 | main | INFO  | Besu | Using the native implementation of modexp
2025-07-30 08:51:10.266+07:00 | main | INFO  | Besu | Using the native implementation of the signature algorithm
